F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,filename
24.943085,0.17310458,23.282608,25.39546,27.02988,3.7472725,260.68488,512.11206,81.114586,76.80227,0.31381008,0.7345888,0.13347447,0.20992838,0.48952004,0.35604557,4.2955923,3.0111609,2.9788299,2.47128,0.13533325,1.1267906,17.94081,0.5813857,12.458937,0.76220167,6.6060295,1.6069617,4.184184,2.60178,0.04368408,1.7838715,1.475554,0.5875949,2.1569448,1.7107757,6.3515286,1.5574776,26.377018,0.3431203,505.05417,0.4231938,1234.6738,0.18092829,-97.303505,-0.95299226,1537.8226,0.17041647,959.21326,0.36187297,-102.55966,-0.83703613,2547.5557,0.1145273,901.3796,0.41338062,-105.67805,-0.78524333,-16.023033,-0.4070743,25.134254,0.3176192,0.02117798,1.5290831,-0.01940018,-0.7246374,0.21246989,0.75979716,23.37236,0.42305058,18.065615,0.46269116,8.69107,1.4631916,1.8993595,6.733226,-6.311206,14.878798,-0.010302747,-0.0018639669,0.037675627,1.7595642,1.3631717,0.39891666,0.44611433,0.3421101,0.39247757,-37.274837,AD-M-57-163.wav
21.87967,0.23448275,15.206806,23.130138,26.281614,11.074808,186.27153,307.93692,101.68461,118.54018,0.40921095,0.5982084,0.16903837,0.37274462,0.6054872,0.43644887,4.3940306,2.703906,2.777386,1.4757736,0.23801155,0.62770206,32.30057,0.3833519,2.0837328,5.233572,17.932798,0.7884389,1.6254395,6.773322,0.055084605,1.7574478,1.5093061,0.58605736,-0.4974671,-11.152536,-1.0045557,-25.961931,17.056,1.3399854,497.86725,0.36866772,1318.2858,0.14963794,-46.688236,-1.6363972,1531.6929,0.1786682,1014.71027,0.33587372,-57.54598,-1.2149638,2515.7466,0.115889825,900.325,0.32999688,-59.94378,-1.1450429,-17.174437,-0.32940313,24.104685,0.27130577,0.0004026934,80.5789,-0.021977846,-0.5396898,0.26910135,0.55284387,35.674564,0.2943705,1.9270803,5.9060855,19.339626,0.78006864,1.0858415,10.928015,-13.386006,22.486603,-0.03265738,-0.010616105,0.123751275,2.516941,2.326145,0.3305208,0.41272822,0.097894736,0.119222425,-35.01411,AD-M-65-40.wav
20.526102,0.18888293,17.501255,20.573896,23.40123,5.899975,79.001854,89.27725,65.623764,126.08194,0.8898303,0.46932277,0.5006897,0.8568252,1.2440516,0.7433619,9.257061,6.8874526,4.601871,2.5803683,0.6466835,0.55207866,18.380577,0.52478117,13.024226,0.58036065,10.659069,0.8122026,4.2396307,2.1762311,0.035297137,1.61508,1.3193436,0.57431704,0.061435305,68.464355,1.9797485,7.602885,21.311321,0.39822406,563.59125,0.45737824,1216.5483,0.15897992,-65.24804,-1.2727295,1587.4836,0.21763438,847.9131,0.30544773,-71.43095,-1.0902561,2655.615,0.11807957,682.1696,0.36502016,-75.63114,-0.99421066,-13.851626,-0.37710142,23.579916,0.2798286,-0.028644552,-1.0054654,-0.010510305,-0.89929974,0.7583388,0.44586378,21.682613,0.367495,13.938969,0.559476,11.260515,0.83459175,4.3047385,2.3547633,-10.620454,19.901932,-0.051437277,-0.0031775623,0.36919543,2.6086957,2.2857144,0.30333334,0.39354113,0.13125,0.16627401,-26.333164,AD-M-67-285.wav
29.711668,0.22447768,24.18114,32.931602,34.015797,9.834656,336.55707,433.35223,142.79703,192.57579,0.56392956,0.5231514,0.2674717,0.54157096,0.8021488,0.53467715,4.3360972,2.9815521,2.7326531,1.4845293,0.42144212,0.95287997,26.26852,0.42338794,14.229838,0.58583,15.662559,0.7601507,12.663101,0.80168694,0.059750367,1.8781267,1.2418128,0.59901595,5.8074737,0.9889746,2.9218402,5.548156,18.868576,0.7772762,602.2561,0.47138292,1316.8528,0.21227925,-41.58153,-1.362042,1667.256,0.1795894,960.6168,0.36020148,-48.26782,-1.0082791,2700.067,0.12500784,922.0736,0.36732447,-52.02672,-0.9141186,-19.833174,-0.32787624,30.47144,0.26426494,-0.01654172,-1.8309419,-0.01471104,-0.66909564,0.42888403,0.7578903,27.337212,0.38920644,14.359764,0.5902691,15.792919,0.77283186,12.915539,0.80630916,-15.5476675,25.42588,-0.044950187,-0.008243208,0.36139902,2.031293,1.4576458,0.6090566,0.8332891,0.07275,0.07249095,-26.219593,AD-M-69-272.wav
26.035162,0.2622233,20.208984,26.499512,30.934752,10.725767,397.91492,649.4377,141.24829,256.61603,0.7471958,0.8274715,0.19476971,0.6115785,1.2071091,1.0123394,9.587569,6.792577,6.7198954,6.054101,0.66607493,1.0483567,25.757454,0.53459156,10.258505,1.0610514,22.944868,0.66804564,4.5317664,2.4969964,0.06630385,1.7735612,1.4141803,0.64688206,2.8362308,1.8394012,4.4486012,3.8268666,20.707022,0.764646,534.2775,0.407066,1246.7673,0.19633265,-82.90781,-1.0362612,1609.9293,0.17713961,891.55396,0.40656686,-88.316505,-0.88774425,2663.3755,0.110037446,808.5127,0.40978372,-89.3903,-0.8645148,-19.393599,-0.41073754,28.25574,0.32120606,-0.011244906,-2.9707623,-0.021978837,-0.64598644,0.8835638,0.8304234,30.932358,0.35408697,10.672506,1.0403523,26.321405,0.5966164,4.332666,2.8196328,-11.641972,20.516764,-0.03268797,-0.0101264985,0.25431862,1.6660309,2.3670144,0.26817203,0.362043,0.14497076,0.14115393,-23.916952,AD-M-72-314.wav
19.462774,0.19036707,15.104212,20.406862,22.966396,7.8621845,137.82281,159.74657,72.32361,71.02362,0.2525316,0.32766843,0.17648503,0.24211305,0.32000726,0.14352223,1.628484,0.9361949,1.2004945,0.6612932,0.12435381,0.36382544,29.905746,0.31845203,7.5466948,0.8369373,11.45139,0.7857293,5.6776657,1.4197143,0.047219772,1.8074723,1.4156185,0.5910112,-1.5530916,-2.918109,-3.7200625,-6.916792,16.556997,1.5113773,442.9747,0.2747513,1293.9984,0.15326898,-42.88028,-1.6450133,1432.5295,0.114121534,1036.9362,0.28207704,-53.850433,-1.2113258,2431.6914,0.08194546,935.3932,0.32732055,-58.526913,-1.0776416,-17.364605,-0.2444623,26.545523,0.19550869,-0.016474498,-1.3815749,-0.016443405,-0.5392669,0.12932807,0.34885415,31.899286,0.23650421,8.041936,0.7571146,11.747278,0.793513,6.158367,1.3415778,-12.935342,22.217306,-0.02473581,-0.011609821,0.10344111,3.2520328,2.7408414,0.28643563,0.3249542,0.07527027,0.077863745,-42.99035,AD-M-72-44.wav
24.467062,0.22505532,21.282753,24.329895,26.615803,5.33305,214.27753,366.84653,108.47514,117.916565,0.79652506,0.7570405,0.26859114,0.63429636,1.2561741,0.9875829,11.4841795,7.8207636,8.633175,6.3687797,0.61794513,1.194798,25.72963,0.46499625,5.1770334,2.0152397,3.6766088,3.5160182,-0.4239574,-27.543522,0.06796811,1.5512588,1.6931255,0.70672625,-0.086612314,-51.974632,2.099105,3.9860916,21.85463,0.5079465,486.34518,0.38660583,1285.113,0.16447845,-67.20227,-1.2951772,1462.955,0.16956985,1021.9829,0.2831537,-73.43528,-1.0958539,2439.9365,0.11747408,886.90314,0.34835505,-77.06286,-1.0118618,-14.853412,-0.46860805,23.32625,0.35741156,0.03911086,0.72820616,-0.024427058,-0.58073163,0.7767658,1.0299367,30.039242,0.33151925,7.7451153,1.3679626,5.583532,2.5287619,-0.9688218,-13.437135,-5.651945,12.500332,0.0364686,-0.011216503,0.25707293,2.3118074,2.467011,0.27178293,0.42388847,0.1207563,0.14549342,-25.42949,AD-M-76-194.wav
21.82319,0.26960525,14.535783,24.15809,27.193806,12.658023,238.20708,341.11572,92.617386,136.3224,0.32121432,0.43438485,0.19951975,0.28924364,0.42920884,0.22968909,2.4236493,1.643744,1.7471333,1.1038277,0.15419318,0.45884565,27.890947,0.3558093,2.8853548,2.9010942,11.916858,0.92568165,1.3880422,5.841905,0.06272673,1.8585696,1.3557258,0.56773275,-0.7531936,-7.044693,1.7615709,15.227481,17.949173,1.3623207,473.89243,0.36276716,1281.3119,0.15521365,-52.393234,-1.4606768,1462.135,0.15631121,974.8487,0.258932,-59.953266,-1.1919417,2498.6511,0.0897252,860.51886,0.34354255,-65.29298,-1.0481075,-14.421987,-0.37661594,25.026436,0.22561571,-0.00948806,-2.7369936,-0.011412359,-0.7831567,0.16208394,0.42665476,30.363585,0.28120357,3.2062342,2.5967805,12.676407,0.90894496,1.3542124,6.312834,-11.408466,21.026817,-0.027273566,-0.008388912,0.12883918,2.1090536,3.1177533,0.23842975,0.32727024,0.076145835,0.068043634,-40.620205,AD-M-76-42.wav
18.76216,0.26982772,13.690146,17.912191,24.027565,10.337419,234.16776,444.72296,127.701385,104.22072,0.67102563,0.40531254,0.43347105,0.6477825,0.86338663,0.42991558,5.953098,4.6963534,3.451602,2.157156,0.7157138,1.465231,24.248837,0.43697357,8.391998,1.0819321,16.68746,0.70608217,8.568277,1.0057914,0.118526846,1.2767593,1.7823162,0.6541242,-3.4083505,-1.0960912,8.195698,4.2529335,18.961378,1.0395988,530.516,0.39224783,1291.5742,0.18013029,-79.5145,-1.059724,1586.1678,0.15608302,995.6271,0.3526085,-86.361465,-0.90904284,2540.0854,0.11131396,949.73773,0.33720785,-87.33689,-0.89111036,-16.403545,-0.36767787,23.75668,0.31239694,-0.023754355,-1.5773642,-0.01806971,-0.5586139,0.7512968,0.9918265,26.576065,0.3478207,9.491885,0.92711604,17.712852,0.6562719,8.901608,0.9967204,-12.261942,19.535387,-0.029632127,-0.014077397,0.6506381,2.2661057,3.8910506,0.15766665,0.17629394,0.09469388,0.0855499,-27.012281,AD-M-77-270.wav
28.025322,0.24668384,24.197853,28.407742,32.130653,7.9328003,280.91287,483.45258,187.10211,350.65872,0.618852,0.72270256,0.22035354,0.4971645,0.98453116,0.7641776,7.009674,4.280225,5.0565524,3.9787865,0.3330672,0.97363746,18.50678,0.6766904,13.198222,0.9442266,2.6460836,5.4218283,9.069573,1.1701032,0.05624295,1.8409042,1.292394,0.59934986,2.3907769,1.9871726,7.961545,1.6986841,26.791529,0.50615054,534.24115,0.4372095,1241.2937,0.21597636,-75.909584,-1.1527942,1567.07,0.18138668,961.71277,0.38625273,-81.05109,-0.9830558,2622.9343,0.109492384,922.0991,0.42937568,-85.35079,-0.8963322,-14.812015,-0.5610864,25.655579,0.37087524,0.04291648,0.8648629,-0.02275779,-0.6593993,0.4143776,0.80484754,22.298214,0.511596,17.571415,0.6523579,3.0889084,5.0178924,8.851062,1.2940558,-4.239463,13.808121,0.009053692,-0.0061159274,0.16245575,2.003386,2.456933,0.2664368,0.2795398,0.13578947,0.22523235,-28.830418,AD-M-78-155.wav
